RHC,5,1,0.411,0.418,0.064
RHC,10,1,0.511,0.507,0.169
RHC,15,1,0.656,0.653,0.261
RHC,20,1,0.611,0.623,0.469
RHC,5,2,0.674,0.681,0.096
RHC,25,1,0.479,0.475,0.606
RHC,10,2,0.433,0.435,0.174
RHC,30,1,0.557,0.551,0.761
RHC,15,2,0.483,0.477,0.294
RHC,20,2,0.696,0.716,0.452
RHC,35,1,0.660,0.666,0.957
RHC,5,3,0.562,0.573,0.105
RHC,40,1,0.670,0.682,1.133
RHC,25,2,0.635,0.626,0.570
RHC,45,1,0.551,0.566,1.202
RHC,10,3,0.401,0.400,0.168
RHC,30,2,0.555,0.563,0.738
RHC,50,1,0.700,0.707,1.317
RHC,15,3,0.570,0.576,0.279
RHC,35,2,0.477,0.477,0.853
RHC,20,3,0.497,0.492,0.452
RHC,40,2,0.733,0.727,0.978
RHC,25,3,0.595,0.594,0.589
RHC,5,4,0.272,0.279,0.094
RHC,45,2,0.550,0.543,1.232
RHC,30,3,0.329,0.332,0.699
RHC,10,4,0.540,0.543,0.186
RHC,50,2,0.688,0.696,1.385
RHC,15,4,0.439,0.436,0.361
RHC,35,3,0.624,0.628,0.981
RHC,20,4,0.738,0.734,0.531
RHC,40,3,0.500,0.494,1.026
RHC,5,5,0.703,0.697,0.086
RHC,25,4,0.584,0.597,0.672
RHC,45,3,0.596,0.601,1.173
RHC,10,5,0.358,0.351,0.184
RHC,30,4,0.541,0.561,0.821
RHC,15,5,0.432,0.434,0.312
RHC,50,3,0.475,0.472,1.334
RHC,35,4,0.648,0.663,0.950
RHC,20,5,0.424,0.415,0.503
RHC,40,4,0.734,0.740,1.098
SA,5,1,0.531,0.525,0.117
RHC,25,5,0.614,0.619,0.672
RHC,45,4,0.505,0.510,1.268
SA,10,1,0.537,0.526,0.191
RHC,30,5,0.655,0.672,0.812
RHC,50,4,0.609,0.618,1.449
SA,15,1,0.371,0.374,0.324
RHC,35,5,0.433,0.436,0.955
SA,20,1,0.449,0.450,0.537
RHC,40,5,0.650,0.658,1.143
SA,5,2,0.709,0.713,0.091
SA,25,1,0.330,0.319,0.736
RHC,45,5,0.340,0.336,1.273
SA,10,2,0.408,0.416,0.205
SA,30,1,0.574,0.579,0.840
RHC,50,5,0.645,0.651,1.463
SA,15,2,0.514,0.517,0.345
SA,35,1,0.361,0.365,1.026
SA,20,2,0.355,0.343,0.526
SA,5,3,0.393,0.400,0.094
SA,40,1,0.569,0.568,1.202
SA,25,2,0.377,0.357,0.762
SA,10,3,0.536,0.523,0.231
SA,45,1,0.614,0.622,1.435
SA,30,2,0.473,0.465,0.942
SA,15,3,0.508,0.503,0.404
SA,50,1,0.375,0.365,1.573
SA,35,2,0.264,0.276,1.090
SA,20,3,0.444,0.461,0.567
SA,5,4,0.379,0.367,0.099
SA,40,2,0.474,0.469,1.292
SA,25,3,0.380,0.398,0.797
SA,10,4,0.337,0.348,0.254
SA,45,2,0.321,0.323,1.502
SA,15,4,0.561,0.553,0.419
SA,30,3,0.568,0.565,0.999
SA,50,2,0.391,0.388,1.661
SA,35,3,0.666,0.676,1.121
SA,20,4,0.372,0.370,0.544
SA,5,5,0.605,0.592,0.107
SA,40,3,0.642,0.649,1.355
SA,25,4,0.520,0.521,0.805
SA,10,5,0.596,0.596,0.292
SA,45,3,0.378,0.381,1.606
SA,30,4,0.442,0.425,1.058
SA,15,5,0.306,0.302,0.506
SA,50,3,0.620,0.613,1.819
SA,35,4,0.555,0.553,1.281
SA,20,5,0.369,0.362,0.711
SA,40,4,0.312,0.305,1.481
SA,25,5,0.451,0.450,0.880
SA,45,4,0.522,0.528,1.697
SA,30,5,0.733,0.739,1.178
SA,50,4,0.430,0.433,1.975
SA,35,5,0.343,0.335,1.418
SA,40,5,0.629,0.640,1.624
SA,45,5,0.387,0.383,1.878
SA,50,5,0.607,0.603,2.151
GA,5,1,0.821,0.818,69.376
GA,5,2,0.832,0.831,68.633
GA,5,3,0.819,0.823,69.695
GA,5,4,0.806,0.809,68.504
GA,5,5,0.702,0.702,70.383
GA,10,1,0.739,0.742,131.666
GA,10,2,0.793,0.790,131.415
GA,10,3,0.790,0.783,132.138
GA,10,4,0.770,0.773,131.780
GA,10,5,0.708,0.712,129.750
GA,15,1,0.812,0.814,188.477
GA,15,2,0.823,0.815,186.422
GA,15,3,0.773,0.775,186.196
GA,15,4,0.782,0.784,186.089
GA,15,5,0.728,0.727,185.406
GA,20,2,0.841,0.855,233.579
GA,20,1,0.834,0.822,236.247
GA,20,5,0.720,0.729,229.260
GA,20,3,0.809,0.819,235.448
GA,20,4,0.767,0.785,234.278
GA,25,2,0.796,0.796,273.651
GA,25,1,0.785,0.795,277.356
GA,25,3,0.761,0.757,274.825
GA,25,4,0.758,0.760,271.866
GA,25,5,0.722,0.723,271.553
GA,30,1,0.783,0.786,310.978
GA,30,2,0.826,0.826,310.613
GA,30,3,0.764,0.767,307.779
GA,30,4,0.771,0.766,305.559
GA,30,5,0.820,0.819,303.992
GA,35,1,0.848,0.840,337.761
GA,35,2,0.755,0.764,335.748
GA,35,4,0.790,0.790,331.648
GA,35,3,0.838,0.846,335.673
GA,35,5,0.845,0.859,331.325
GA,40,2,0.877,0.879,355.557
GA,40,1,0.766,0.768,358.668
GA,40,4,0.915,0.908,352.070
GA,40,3,0.885,0.895,355.031
GA,40,5,0.857,0.862,350.171
GA,45,1,0.785,0.791,372.455
GA,45,2,0.808,0.817,370.055
GA,45,4,0.900,0.905,364.300
GA,45,3,0.755,0.754,368.434
GA,45,5,0.817,0.804,362.943
GA,50,1,0.922,0.923,381.800
GA,50,2,0.884,0.894,378.536
GA,50,4,0.879,0.885,372.321
GA,50,3,0.818,0.832,375.945
GA,50,5,0.790,0.797,370.227
